,3
1127,H
1128,A
1129,D
1130,A
1131,A
1132,D
1133,H
1134,A
1135,H
1136,D
1137,A
1138,D
1139,H
1140,A
1141,D
1142,A
1143,H
1144,A
1145,H
1146,A
1147,D
1148,H
1149,H
1150,H
1151,A
1152,A
1153,A
1154,H
1155,H
1156,D
1157,H
1158,A
1159,H
1160,A
1161,H
1162,A
1163,A
1164,H
1165,H
1166,A
1167,A
1168,H
1169,A
1170,H
1171,A
1172,H
1173,A
1174,D
1175,D
1176,H
1177,A
1178,A
1179,H
1180,D
1181,A
1182,H
1183,D
1184,D
1185,H
1186,D
1187,A
1188,H
1189,H
1190,A
1191,A
1192,H
1193,D
1194,H
1195,H
1196,H
1197,A
1198,A
1199,D
1200,A
1201,H
1202,D
1203,H
1204,H
1205,H
1206,H
1207,H
1208,A
1209,A
1210,D
1211,H
1212,H
1213,H
1214,A
1215,A
1216,H
1217,H
1218,H
1219,D
1220,H
1221,D
1222,D
1223,H
1224,H
1225,H
1226,H
1227,A
1228,A
1229,H
1230,H
1231,A
1232,H
1233,D
1234,H
1235,H
1236,H
1237,H
1238,H
1239,A
1240,A
1241,H
1242,A
1243,D
1244,A
1245,A
1246,H
1247,H
1248,D
1249,H
1250,H
1251,D
1252,H
1253,A
1254,H
1255,H
1256,H
1257,D
1258,H
1259,H
1260,A
1261,H
1262,D
1263,H
1264,A
1265,H
1266,A
1267,H
1268,D
1269,H
1270,A
1271,A
1272,H
1273,H
1274,A
1275,H
1276,H
1277,A
1278,H
1279,A
1280,A
1281,H
1282,D
1283,D
1284,A
1285,H
1286,D
1287,D
1288,H
1289,H
1290,H
1291,H
1292,D
1293,H
1294,H
1295,H
1296,A
1297,A
1298,A
1299,A
1300,H
1301,H
1302,H
1303,H
1304,D
1305,D
1306,H
1307,H
1308,D
1309,H
1310,D
1311,A
1312,A
1313,D
1314,H
1315,H
1316,H
1317,A
1318,H
1319,D
1320,A
1321,D
1322,D
1323,A
1324,D
1325,A
1326,H
1327,H
1328,D
1329,H
1330,H
1331,A
1332,H
1333,A
1334,H
1335,A
1336,A
1337,A
1338,H
1339,H
1340,H
1341,H
1342,D
1343,D
1344,D
1345,A
1346,H
1347,D
1348,H
1349,D
1350,H
1351,D
1352,A
1353,H
1354,H
1355,A
1356,H
1357,A
1358,D
1359,H
1360,H
1361,H
1362,D
1363,H
1364,H
1365,H
1366,A
1367,H
1368,H
1369,A
1370,A
1371,D
1372,H
1373,H
1374,A
1375,H
1376,H
1377,H
1378,A
1379,H
1380,D
1381,H
1382,A
1383,D
1384,H
1385,A
1386,D
1387,A
1388,H
1389,H
1390,A
1391,H
1392,H
1393,A
1394,H
1395,H
1397,A
1398,H
1399,A
1400,A
1401,H
1402,D
1403,H
1404,H
1405,A
1406,H
1407,H
1408,A
1409,A
1410,H
1411,A
1412,D
1413,A
1414,D
1415,H
1416,A
1417,H
1418,A
1419,H
1420,H
1421,D
1422,H
1423,H
1424,D
1425,A
1426,D
1427,H
1428,H
1429,H
1430,A
1431,H
1432,A
1433,A
1434,H
1435,H
1436,H
1437,D
1438,H
1439,D
1440,H
1441,D
1442,H
1443,H
1444,H
1445,H
1446,H
1447,A
1448,D
1449,A
1450,H
1451,H
1452,H
1453,D
1454,H
1455,H
1456,A
1457,D
1458,H
1459,H
1460,A
1461,H
1462,H
1463,A
1464,A
1465,A
1466,H
1467,A
1468,H
1469,A
1470,A
1471,H
1472,D
1473,H
1474,H
1475,H
1476,A
1477,A
1478,A
1479,D
1480,A
1481,H
1482,D
1483,D
1484,H
1485,D
1486,D
1487,A
1488,A
1489,H
1490,H
1491,D
1492,D
1493,H
1494,H
1495,D
1496,H
1497,D
1498,H
1499,H
1500,H
1501,H
1502,D
1503,A
1504,A
1505,H
1506,H
1507,A
1508,D
1509,H
1510,H
1511,D
1512,H
1513,H
1514,D
1515,H
1516,A
1517,D
1518,D
1519,H
1520,H
1521,H
1522,D
1523,A
1524,H
1525,H
1526,D
1527,A
1528,D
1529,A
1530,H
1531,H
1532,H
1533,A
1534,D
1535,A
1536,H
1537,D
1538,A
1539,D
1540,H
1541,H
1542,D
1543,A
1544,D
1545,D
1546,D
1547,H
1548,D
1549,A
1550,A
1551,H
1552,H
1553,H
1554,H
1555,D
1556,A
1557,D
1558,D
1559,H
1560,H
1561,D
1562,A
1563,H
1564,H
1565,D
1566,D
1567,D
1568,A
1569,A
1570,H
1571,H
1572,H
1573,D
1574,H
1575,D
1576,D
1577,D
1578,A
1579,D
1580,H
1581,H
1582,D
1583,H
1584,D
1585,H
1586,H
1587,D
1588,A
1589,A
1590,A
1591,A
1592,A
1593,A
1594,A
1595,D
1596,A
1597,H
1598,H
1599,D
1600,A
1601,H
1602,A
1603,D
1604,H
1605,A
1606,D
1607,A
1608,D
1609,A
1610,H
1611,H
1612,A
1613,A
1614,H
1615,A
1616,A
1617,A
1618,D
1619,D
1620,D
1621,H
1622,H
1623,H
1624,A
1625,H
1626,A
1627,A
1628,A
1629,A
1630,H
1631,D
1632,H
1633,H
1634,D
1635,H
1636,A
1637,D
1638,H
1639,A
1640,A
1641,A
1642,H
1643,H
1644,A
1645,H
1646,H
1647,A
1648,H
1649,D
1650,H
1651,H
1652,D
1653,A
1654,A
1655,H
1656,D
1657,A
1658,H
1659,A
1660,H
1661,H
1662,H
1663,D
1664,A
1665,A
1666,D
1667,A
1668,D
1669,D
1670,A
1671,D
1672,H
1673,D
1674,H
1675,H
1676,H
1677,D
1678,A
1679,D
1680,H
1681,H
1682,H
1683,H
1684,H
1685,H
1686,A
1687,H
1688,H
1689,H
1690,H
1691,H
1692,A
1693,A
1694,D
1695,H
1696,A
1697,D
1698,H
1699,H
1700,D
1701,H
1702,H
1703,A
1704,H
1705,D
1706,H
1707,D
1708,D
1709,A
1710,A
1711,H
1712,H
1713,H
1714,H
1715,D
1716,H
1717,H
1718,H
1719,A
1720,H
